Id,Designator,Package,Quantity,Designation,Supplier and ref
1,DipoleBottom1,bottomele,1,dipoleBottom,
2,DipoleTop1,topele,1,dipoleTop,
3,"C1,C2,C3",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,100n,
4,U1,pga103,1,PGA-103,
5,J1,SMA_Amphenol_132134_Vertical,1,Conn_Coaxial,
6,T1,TCM4-452X+,1,TCM4-452X+,
7,R1,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,18,
8,D1,SOT-23,1,BAV99,
